Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,EXP,Age,Experience,Designations,Cognitive Test Scores
420000,2012-06-01,2015-01-12,senior quality engineer,Bangalore,f,1990-02-19,84.3,state,2007,95.8,state,2,UG,CS,78.0,0,South_Zone.,2011,58.857142857142854,73.58490566037736,58.333333333333336,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.9737,0.8128,0.5269,1.3549,-0.4455,955 days,9093 days,2.6,others,63.59179395028451
500000,2013-09-01,2015-01-12,assistant manager,Indore,m,1989-10-04,85.4,cbse,2007,85.0,cbse,2,UG,EC,70.06,0,Other_Zone,2012,79.42857142857143,76.72955974842768,86.66666666666667,0.960603251997053,-1,466,-1,-1,-1,-1,-1,-0.7335,0.3789,1.2396,-0.1076,0.8637,498 days,9231 days,1.4,manager,80.94159928122193
325000,2014-06-01,2015-01-12,systems engineer,Chennai,f,1992-08-03,85.0,cbse,2010,68.2,cbse,2,UG,CS,70.0,0,North_Zone.,2014,70.28571428571429,68.55345911949685,41.111111111111114,0.450876584483451,395,-1,-1,-1,-1,-1,-1,0.2718,1.7109,0.1637,-0.8682,0.6721,225 days,8197 days,0.6,engineer,59.983428172107416
200000,2014-03-01,,get,Manesar,m,1991-02-27,78.0,cbse,2008,76.8,cbse,2,UG,EC,73.9,0,North_Zone.,2012,62.285714285714285,78.61635220125787,51.666666666666664,0.124502074009537,-1,233,-1,-1,-1,-1,-1,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,,NaT,,others,64.1895777178796
300000,2014-06-01,2015-01-12,system engineer,Hyderabad,m,1992-07-02,89.92,state,2010,87.0,state,2,UG,EC,76.32,0,South_Zone.,2014,64.0,69.81132075471699,68.88888888888889,-1.0,645,-1,407,-1,-1,-1,-1,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,225 days,8229 days,0.6,engineer,67.56673654786863
300000,2014-08-01,,java software engineer,Banglore,m,1993-02-01,86.08,state,2010,67.5,state,2,UG,CS,72.98,1,South_Zone.,2014,67.42857142857143,54.716981132075475,42.22222222222222,0.356536487724475,405,-1,346,-1,-1,-1,-1,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,,NaT,,engineer,54.789258260956366
400000,2014-07-01,,mechanical engineer,Bangalore,m,1992-05-27,92.0,cbse,2010,91.0,cbse,1,UG,other,81.51,0,South_Zone.,2016,62.285714285714285,69.81132075471699,65.55555555555556,0.829584599793067,-1,-1,-1,469,-1,-1,-1,-0.0154,1.2114,0.01,0.1459,1.247,,NaT,,engineer,65.88419686532895
600000,2013-07-01,2015-01-12,electrical engineer,Noida,m,1991-09-17,90.0,cbse,2009,91.2,cbse,1,UG,EC,85.03,1,Other_Zone,2013,70.28571428571429,84.27672955974843,58.888888888888886,0.694479327708463,735,366,-1,-1,-1,-1,-1,-0.159,0.5454,-0.6048,-0.7415,-0.2859,560 days,8518 days,1.5,engineer,71.15044424478388
230000,2014-07-01,2015-01-12,project engineer,Kolkata,m,1993-06-13,77.0,cbse,2010,72.2,cbse,2,UG,EC,78.0,1,Other_Zone,2014,69.14285714285714,71.06918238993711,60.55555555555556,0.493596387301038,385,324,-1,-1,-1,-1,-1,-1.308,0.5454,-0.9122,0.9066,0.0973,195 days,7883 days,0.5,engineer,66.92253169611661
600000,2011-04-01,,senior php developer,Bangalore,m,1989-06-24,88.6,state,2006,83.7,state,2,UG,CS,74.9,0,Other_Zone,2010,64.57142857142857,57.23270440251572,62.77777777777778,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.0464,0.8128,0.0914,0.1798,0.0284,,NaT,,senior,61.52730358390736
450000,2011-08-01,,senior systems engineer,Pune,m,1990-02-10,81.0,cbse,2007,86.0,cbse,1,UG,CS,72.29,0,Other_Zone,2011,56.57142857142857,76.1006289308176,79.44444444444444,0.968237495890543,605,-1,-1,-1,-1,-1,-1,-2.272,1.1248,0.8171,-0.4078,-0.4455,,NaT,,others,70.70550064889687
270000,2013-12-01,2015-01-12,quality assurance engineer,Pune,m,1990-11-21,83.6,state,2008,69.83,state,2,UG,EC,60.0,0,Other_Zone,2013,43.42857142857143,72.95597484276729,52.22222222222222,0.229481754911755,-1,266,-1,-1,-1,206,-1,0.1282,0.5454,-0.7585,-0.995,0.8637,407 days,8818 days,1.1,engineer,56.202256164520314
200000,2014-01-01,2015-01-12,qa analyst,Gurgaon,m,1990-10-23,60.8,cbse,2008,62.4,cbse,2,UG,EC,60.0,0,North_Zone.,2012,56.57142857142857,53.459119496855344,71.66666666666667,0.538386892985096,385,333,-1,-1,-1,-1,-1,0.3555,0.0328,-0.598,-0.2902,-1.2354,376 days,8847 days,1.0,analyst,60.56573824498353
300000,2013-07-01,2015-01-12,java software engineer,Bangalore,m,1992-07-02,81.2,state,2008,79.9,state,2,UG,EC,67.67,0,North_Zone.,2013,45.142857142857146,71.06918238993711,71.66666666666667,-1.0,495,-1,376,-1,-1,-1,-1,0.7027,0.7119,0.01,-0.995,0.6721,560 days,8229 days,1.5,engineer,62.62623539982031
350000,2013-08-01,2015-01-12,network engineer,-1,f,1990-01-17,69.54,icse,2008,64.43,icse,2,UG,CS,63.0,0,North_Zone.,2012,55.42857142857143,65.40880503144655,39.44444444444444,0.308400582860308,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528,529 days,9126 days,1.4,engineer,53.42727363482081
325000,2014-09-01,2015-01-12,product development engineer,Noida,m,1992-06-10,85.8,cbse,2010,74.8,cbse,2,UG,EC,64.8,0,North_Zone.,2014,78.28571428571429,66.66666666666667,68.88888888888889,-1.0,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608,133 days,8251 days,0.4,engineer,71.28042328042329
250000,2013-08-01,,associate software developer,Gurgaon,m,1987-09-28,60.8,cbse,2006,66.66,cbse,2,PG,CS,74.74,1,Other_Zone,2013,53.142857142857146,73.58490566037736,57.22222222222222,0.911395278391328,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721,,NaT,,associate,61.31666167515224
120000,2014-01-01,,data entry operator,Gurgaon,m,1992-12-07,65.0,state,2008,64.8,icse,2,UG,CS,69.54,0,North_Zone.,2013,53.142857142857146,62.264150943396224,57.22222222222222,0.563267823666597,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386,,NaT,,others,57.54307676949187
325000,2014-09-01,2015-01-12,software engineer,Pune,f,1990-11-30,79.0,cbse,2008,62.2,cbse,2,UG,CS,76.3,0,North_Zone.,2012,55.42857142857143,55.9748427672956,48.333333333333336,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295,133 days,8809 days,0.4,engineer,53.24558250973345
320000,2010-11-01,,software engineer,Bangalore,f,1988-07-25,91.2,state,2006,84.63,state,2,UG,CS,78.15,0,South_Zone.,2010,52.0,67.29559748427673,49.44444444444444,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444,,NaT,,engineer,56.24668064290705
200000,2012-08-01,,software engineer,-1,f,1991-08-20,75.67,state,2007,74.4,state,2,UG,CS,74.01,0,North_Zone.,2012,44.0,69.81132075471699,49.44444444444444,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,,NaT,,engineer,54.41858839972048
190000,2013-10-01,,developer,Hyderabad,m,1992-01-23,92.5,state,2009,95.2,state,2,UG,EC,76.0,0,South_Zone.,2013,45.142857142857146,57.23270440251572,53.888888888888886,-1.0,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,,NaT,,developer,52.08815014475391
180000,2014-08-01,,electrical project engineer,Bangalore,m,1986-07-30,70.0,state,2006,43.42,state,2,UG,EC,55.52,1,South_Zone.,2014,42.285714285714285,45.283018867924525,30.0,0.649389714846691,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,,NaT,,engineer,39.1895777178796
